% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.523	2	6	3	0.999999	0
3.561	1	1	1	0.999999	0
3.561	2	4	1	0.999999	0
3.562	1	2	2	0.999999	0
3.562	2	5	2	0.999999	0
3.563	1	3	3	0.999999	0
3.563	2	6	3	0.999999	0
3.601	1	1	1	0.999999	0
3.601	2	4	1	0.999999	0
3.602	1	2	2	0.999999	0
3.602	2	5	2	0.999999	0
3.603	1	3	3	0.999999	0
3.603	2	6	3	0.999999	0
3.641	1	1	1	0.999999	0
3.641	2	4	1	0.999999	0
3.642	1	2	2	0.999999	0
3.642	2	5	2	0.999999	0
3.643	1	3	3	0.999999	0
3.643	2	6	3	0.999999	0
3.681	1	1	1	0.999999	0
3.681	2	4	1	0.999999	0
3.682	1	2	2	0.999999	0
3.682	2	5	2	0.999999	0
3.683	1	3	3	0.999999	0
3.683	2	6	3	0.999999	0
3.721	1	1	1	0.999999	0
3.721	2	4	1	0.999999	0
3.722	1	2	2	0.999999	0
3.722	2	5	2	0.999999	0
3.723	1	3	3	0.999999	0
3.723	2	6	3	0.999999	0
3.761	1	1	1	0.999999	0
3.761	2	4	1	0.999999	0
3.762	1	2	2	0.999999	0
3.762	2	5	2	0.999999	0
3.763	1	3	3	0.999999	0
3.763	2	6	3	0.999999	0
3.801	1	1	1	0.999999	0
3.801	2	4	1	0.999999	0
3.802	1	2	2	0.999999	0
3.802	2	5	2	0.999999	0
3.803	1	3	3	0.999999	0
3.803	2	6	3	0.999999	0
3.841	1	1	1	0.999999	0
3.841	2	4	1	0.999999	0
3.842	1	2	2	0.999999	0
3.842	2	5	2	0.999999	0
3.843	1	3	3	0.999999	0
3.843	2	6	3	0.999999	0
3.881	1	1	1	0.999999	0
3.881	2	4	1	0.999999	0
3.882	1	2	2	0.999999	0
3.882	2	5	2	0.999999	0
3.883	1	3	3	0.999999	0
3.883	2	6	3	0.999999	0
3.921	1	1	1	0.999999	0
3.921	2	4	1	0.999999	0
3.922	1	2	2	0.999999	0
3.922	2	5	2	0.999999	0
3.923	1	3	3	0.999999	0
3.923	2	6	3	0.999999	0
3.961	1	1	1	0.999999	0
3.961	2	4	1	0.999999	0
3.962	1	2	2	0.999999	0
3.962	2	5	2	0.999999	0
3.963	1	3	3	0.999999	0
3.963	2	6	3	0.999999	0
4.001	1	1	1	0.999999	0
4.001	2	4	1	0.999999	0
4.002	1	2	2	0.999999	0
4.002	2	5	2	0.999999	0
4.003	1	3	3	0.999999	0
4.003	2	6	3	0.999999	0
4.041	1	1	1	0.999999	0
4.041	2	4	1	0.999999	0
4.042	1	2	2	0.999999	0
4.042	2	5	2	0.999999	0
4.043	1	3	3	0.999999	0
4.043	2	6	3	0.999999	0
4.081	1	1	1	0.999999	0
4.081	2	4	1	0.999999	0
4.082	1	2	2	0.999999	0
4.082	2	5	2	0.999999	0
4.083	1	3	3	0.999999	0
4.083	2	6	3	0.999999	0
4.121	1	1	1	0.999999	0
4.121	2	4	1	0.999999	0
4.122	1	2	2	0.999999	0
4.122	2	5	2	0.999999	0
4.123	1	3	3	0.999999	0
4.123	2	6	3	0.999999	0
4.161	1	1	1	0.999999	0
4.161	2	4	1	0.999999	0
4.162	1	2	2	0.999999	0
4.162	2	5	2	0.999999	0
4.163	1	3	3	0.999999	0
4.163	2	6	3	0.999999	0
4.201	1	1	1	0.999999	0
4.201	2	4	1	0.999999	0
4.202	1	2	2	0.999999	0
4.202	2	5	2	0.999999	0
4.203	1	3	3	0.999999	0
4.203	2	6	3	0.999999	0
4.241	1	1	1	0.999999	0
4.241	2	4	1	0.999999	0
4.242	1	2	2	0.999999	0
4.242	2	5	2	0.999999	0
4.243	1	3	3	0.999999	0
4.243	2	6	3	0.999999	0
